year,rank,title,artist,match_score,source_label
1973,4,Let's Get It On,Marvin Gaye,100.0,meta_pos:1973-4
1973,5,My Love,Paul McCartney & Wings,100.0,meta_pos:1973-5
1974,1,The Way We Were,Barbra Streisand,98.46153846153847,meta_pos:1974-1
1974,2,Seasons in the Sun,Terry Jacks,100.0,meta_pos:1974-2
1974,3,Love's Theme,Love Unlimited Orchestra,-1.0,
1974,4,Come and Get Your Love,Redbone,100.0,meta_pos:1974-4
1974,5,Dancing Machine,The Jackson 5,100.0,meta_pos:1974-5
1975,1,Love Will Keep Us Together,Captain & Tennille,100.0,meta_pos:1975-1
1975,2,Rhinestone Cowboy,Glen Campbell,100.0,meta_pos:1975-2
1975,3,Philadelphia Freedom,Elton John,100.0,meta_pos:1975-3
1975,4,Before the Next Teardrop Falls,Freddy Fender,100.0,meta_pos:1975-4
1975,5,My Eyes Adored You,Frankie Valli,100.0,meta_pos:1975-5
1976,1,Silly Love Songs,Wings,100.0,meta_pos:1976-1
1976,2,Don't Go Breaking My Heart,Elton John & Kiki Dee,100.0,meta_pos:1976-2
